City,Temperature,Country,Cloudiness,Humidity,Latitude,Longitude,Wind Speed,Date
La Santisima Trinidad,17.28,BO,20,74,-14.83,-64.9,2.03,1593223385
Ndioum,28.55,SN,0,45,16.51,-14.65,6.11,1593223385
Ratholo,10.39,BW,0,67,-22.72,27.57,1.9,1593223385
Kirakira,29.51,SB,89,70,-10.45,161.92,5.15,1593223385
Homer,15.0,US,1,62,59.64,-151.55,7.2,1593223386
Singaparna,26.25,ID,15,66,-7.35,108.11,1.17,1593223386
Popondetta,31.03,PG,22,55,-8.75,148.25,2.22,1593223386
Sierpc,16.82,PL,1,96,52.86,19.67,3.88,1593223386
Westport,24.0,US,1,64,41.14,-73.36,1.5,1593223144
Nioki,23.86,CD,0,68,-2.72,17.68,0.34,1593223386
Vrangel',14.78,RU,100,97,42.73,133.08,2.31,1593223386
Arman',15.95,RU,0,58,59.7,150.17,5.0,1593223135
Padang,28.88,ID,100,62,-0.95,100.35,0.24,1593223386
Wāliṅ,25.77,NP,7,74,27.98,83.77,0.34,1593223386
Alugan,28.54,PH,94,79,12.22,125.48,2.07,1593223386
Garbolovo,18.89,RU,0,68,60.34,30.5,4.14,1593223386
Chippewa Falls,27.0,US,1,61,44.94,-91.39,3.1,1593223386
Richards Bay,17.02,ZA,0,62,-28.78,32.04,5.72,1593223155
Salisbury,15.56,GB,64,93,51.07,-1.8,3.1,1593223386
Salalah,28.0,OM,75,94,17.02,54.09,1.5,1593223386
Eau Claire,27.0,US,1,61,44.81,-91.5,3.1,1593223280
Anamur,26.13,TR,0,47,36.08,32.84,2.71,1593223231
Plettenberg Bay,11.55,ZA,0,64,-34.05,23.37,3.45,1593223387
Vila Franca do Campo,19.0,PT,20,82,37.72,-25.43,1.5,1593223387
Dunedin,12.22,NZ,30,80,-45.87,170.5,0.89,1593223387
Encamp,17.78,AD,83,83,42.53,1.63,0.89,1593223387
Barcelos,18.0,PT,90,100,41.54,-8.62,2.6,1593223141
Coquimbo,12.0,CL,1,81,-29.95,-71.34,1.5,1593223088
Gainesville,29.0,US,1,74,29.65,-82.32,1.5,1593223382
Ténenkou,32.67,ML,42,35,14.46,-4.92,8.93,1593223387
Cavalcante,19.56,BR,0,51,-13.8,-47.46,1.29,1593223387
Uíge,15.02,AO,59,60,-7.61,15.06,1.02,1593223387
Chara,20.06,RU,34,47,56.91,118.26,1.41,1593223387
Beyneu,17.42,KZ,0,34,45.32,55.2,4.65,1593223387
Tena,20.72,EC,44,86,-0.98,-77.82,1.16,1593223388
Hervey Bay,21.11,AU,11,71,-25.3,152.85,2.68,1593223388
Marsala,26.11,IT,0,77,37.8,12.44,1.5,1593223388
Chililabombwe,12.97,ZM,21,84,-12.36,27.82,3.1,1593223388
Aksarka,8.74,RU,100,87,66.56,67.8,3.8,1593223388
Fonte Boa,23.12,BR,23,95,-2.5,-66.27,0.53,1593223388
Silopi,25.64,TR,0,18,37.25,42.47,1.18,1593223388
Ulladulla,13.33,AU,90,54,-35.35,150.47,4.1,1593223119
Nishihara,29.0,JP,75,74,26.18,127.76,2.6,1593223388
Broken Hill,12.0,AU,90,46,-31.95,141.43,3.1,1593223099
Punta Alta,6.77,AR,100,61,-38.88,-62.07,3.07,1593223388
Marsá Maţrūḩ,22.15,EG,0,84,31.35,27.25,3.55,1593223388
Sarti,23.36,GR,0,59,40.1,23.98,4.52,1593223388
Goderich,23.89,CA,100,72,43.75,-81.72,7.1,1593223388
Kampot,25.0,KH,75,94,10.62,104.18,2.6,1593223142
Bonthe,24.83,SL,88,88,7.53,-12.51,2.27,1593223106
Kaniama,17.89,CD,100,45,-7.57,24.18,1.17,1593223389
Eenhana,11.0,NA,0,50,-17.47,16.33,1.5,1593223389
Longyearbyen,6.0,SJ,75,81,78.22,15.64,6.7,1593223389
Biscarrosse,14.0,FR,21,93,44.39,-1.17,0.65,1593223389
La Rioja,17.0,ES,100,88,42.25,-2.5,2.1,1593223311
Belyy Yar,19.0,RU,100,77,53.6,91.39,1.26,1593223389
Novikovo,13.99,RU,0,89,51.15,37.89,0.5,1593223389
Northam,14.44,GB,100,92,51.03,-4.22,5.81,1593223389
Rogovatoye,12.96,RU,0,91,51.23,38.38,0.79,1593223389
Meulaboh,27.15,ID,100,78,4.14,96.13,1.52,1593223389
Guarapari,21.67,BR,98,88,-20.67,-40.5,1.5,1593223137
Verkhnevilyuysk,26.58,RU,1,44,63.45,120.32,1.47,1593223389
Mae Sot,25.0,TH,75,94,16.72,98.57,1.05,1593223389
Murray Bridge,15.56,AU,0,60,-35.12,139.27,4.5,1593223390
Vvedenskoye,10.3,RU,0,73,55.48,65.08,2.92,1593223390
Amuntai,23.06,ID,100,97,-2.42,115.25,0.92,1593223390
Diamantino,23.47,BR,49,60,-14.41,-56.45,0.63,1593223390
Departamento de Maldonado,9.44,UY,75,93,-34.67,-54.92,2.1,1593223286
Te Anau,10.04,NZ,78,70,-45.42,167.72,0.51,1593223090
Smithers,17.0,CA,75,48,54.78,-127.17,5.1,1593223168
Damietta,22.72,EG,0,87,31.42,31.81,3.83,1593223314
Emba,11.56,KZ,0,67,48.83,58.14,6.16,1593223390
Muros,17.22,ES,99,91,42.78,-9.06,3.13,1593223390
Yangambi,20.62,CD,49,98,0.81,24.43,0.24,1593223390
Fuyang,30.74,CN,100,66,32.9,115.82,2.18,1593223390
Samarai,26.07,PG,37,83,-10.62,150.67,9.13,1593223092
Rawson,3.68,AR,52,76,-43.3,-65.1,6.3,1593223390
Shimorskoye,16.04,RU,0,85,55.32,42.03,4.53,1593223390
Jiuquan,22.15,CN,80,34,39.74,98.52,8.84,1593223391
Kungurtug,18.23,RU,51,53,50.6,97.52,1.61,1593223391
Buala,28.55,SB,100,77,-8.14,159.59,4.18,1593223391
Scarborough,17.78,GB,3,89,54.28,-0.4,2.79,1593223202
Macas,18.95,EC,86,80,-2.32,-78.12,1.32,1593223391
Liwale,15.82,TZ,43,92,-9.77,37.93,0.56,1593223391
Nicoya,24.56,CR,92,84,10.15,-85.45,2.16,1593223204
Batagay-Alyta,27.58,RU,20,26,67.8,130.41,2.92,1593223391
Srednekolymsk,17.53,RU,14,31,67.45,153.68,4.18,1593223391
Camacha,20.0,PT,40,82,33.08,-16.33,3.6,1593223391
Abu Dhabi,33.0,AE,95,89,24.47,54.37,1.0,1593223111
Iwanai,19.32,JP,99,81,42.97,140.51,0.81,1593223391
Pyapon,26.83,MM,100,84,16.28,95.68,3.36,1593223391
Aberdeen,13.89,GB,90,100,57.14,-2.1,1.5,1593223381
Kushmurun,10.45,KZ,1,74,52.45,64.63,6.31,1593223391
Puchezh,17.09,RU,0,84,56.98,43.17,6.95,1593223391
Luang Prabang,25.0,LA,75,94,19.89,102.13,0.34,1593223391
Kieta,30.05,PG,89,65,-6.22,155.63,3.69,1593223210
Port Hardy,13.0,CA,75,93,50.7,-127.42,4.1,1593223340
Carballo,19.0,ES,90,77,43.21,-8.69,6.2,1593223392
Totskoye,11.02,RU,86,88,52.52,52.76,2.62,1593223392
Gushikawa,29.0,JP,75,70,26.35,127.87,3.1,1593223392
Richmond,27.0,US,75,57,37.55,-77.46,4.1,1593223303
Port Hedland,25.0,AU,0,15,-20.32,118.57,6.7,1593223295
Mahon,22.0,ES,8,88,39.89,4.27,2.1,1593223392
Nurobod,20.0,UZ,40,60,40.91,69.8,5.1,1593223392
Lipin Bor,15.84,RU,27,73,60.26,37.98,4.59,1593223392
Tocopilla,16.12,CL,10,68,-22.09,-70.2,3.97,1593223392
Kunashak,7.0,RU,40,93,55.7,61.55,4.0,1593223392
Gävle,19.44,SE,24,63,60.67,17.14,1.79,1593223392
Berlevåg,6.97,NO,100,91,70.86,29.09,9.7,1593223392
Kumphawapi,28.0,TH,70,78,17.11,103.01,2.6,1593223392
Pires do Rio,17.35,BR,68,68,-17.3,-48.28,2.02,1593223341
Nālūt,25.13,LY,0,25,30.33,10.85,3.62,1593223393
Kalianget,27.85,ID,53,67,-7.05,113.93,3.34,1593223277
Khorixas,9.58,NA,0,50,-20.37,14.97,2.2,1593223393
Hobyo,26.1,SO,78,76,5.35,48.53,9.32,1593223140
Nuuk,3.0,GL,23,93,64.18,-51.72,4.1,1593223382
Machico,21.0,PT,40,68,32.7,-16.77,3.6,1593223393
Quatre Cocos,22.22,MU,75,94,-20.21,57.76,4.1,1593223393
Kushiro,14.0,JP,75,100,42.98,144.37,3.6,1593223393
Colomi,14.0,BO,27,44,-17.35,-65.87,1.5,1593223393
Aban,21.54,RU,87,74,56.67,96.06,3.3,1593223393
Russellville,25.56,US,90,73,35.28,-93.13,4.6,1593223393
Boz,16.67,FR,71,87,46.41,4.91,1.51,1593223394
Magadan,14.05,RU,0,65,59.57,150.8,6.61,1593223394
Prince Rupert,11.0,CA,90,100,54.32,-130.32,1.5,1593223394
Nome,8.0,US,90,81,64.5,-165.41,9.3,1593223098
Okha,10.01,RU,100,86,53.57,142.95,2.63,1593223394
Worthing,16.67,GB,43,82,50.81,-0.37,0.89,1593223394
Vanimo,30.79,PG,100,61,-2.67,141.3,4.17,1593223394
Ossora,16.85,RU,73,60,59.24,163.07,2.46,1593223394
Los Llanos de Aridane,22.0,ES,90,60,28.66,-17.92,8.2,1593223394
Yerbogachën,23.4,RU,29,51,61.28,108.01,1.87,1593223394
Botshabelo,0.0,ZA,0,86,-29.27,26.71,1.0,1593223394
Khani,20.0,GE,90,94,41.96,42.96,1.0,1593223394
Santiago,9.0,CL,40,70,-33.46,-70.65,3.6,1593223151
Turukhansk,16.93,RU,99,85,65.82,87.98,5.79,1593223394
Xushan,28.0,CN,100,83,30.18,121.25,4.0,1593223394
Ternate,27.55,ID,96,77,0.8,127.4,0.79,1593223395
Monrovia,25.0,LR,40,94,6.3,-10.8,4.38,1593223268
Along,23.25,IN,100,90,28.17,94.77,1.14,1593223395
Kourou,25.0,GF,20,100,5.16,-52.65,2.92,1593223203
Okoneshnikovo,11.59,RU,100,96,54.84,75.08,7.85,1593223395
Bathsheba,28.0,BB,40,78,13.22,-59.52,10.8,1593223395
Sinnamary,25.51,GF,46,84,5.38,-52.95,3.4,1593223395
